Feature,Importance
y_28,0.029887745
y_22,0.022528997
y_21,0.02214356
x_20,0.021020927
x_29,0.016757436
z_8,0.0167563
y_25,0.015884051
y_29,0.0152367195
y_8,0.014395298
z_6,0.013337716
y_17,0.012619812
z_20,0.012467624
x_30,0.012345004
y_30,0.012225469
z_27,0.011943039
y_18,0.011691721
y_23,0.011503188
y_24,0.011294727
y_2,0.011219677
y_4,0.0109841125
y_14,0.010953253
z_30,0.010853638
y_5,0.0105521595
y_7,0.010250723
y_12,0.010098541
z_29,0.010053912
y_20,0.009958316
y_13,0.009790301
x_11,0.009721149
x_18,0.009588476
y_6,0.009583792
y_31,0.009518969
v_27,0.009404517
x_13,0.009314317
y_19,0.008829288
y_15,0.008662136
x_7,0.008600864
y_3,0.008471074
z_12,0.008352915
z_24,0.008344677
x_15,0.008278863
x_19,0.008014792
y_11,0.008011006
x_27,0.007856146
x_32,0.00785234
x_24,0.007772916
x_25,0.0077354196
y_27,0.007728221
x_17,0.0076870066
y_32,0.0076221335
y_26,0.007585494
x_26,0.0075596003
z_10,0.0074841403
y_9,0.007310675
z_25,0.0073017096
v_6,0.007270354
x_12,0.0072609936
z_22,0.0072364025
x_1,0.0071781413
v_22,0.007171401
z_0,0.007136475
z_7,0.0070669344
z_23,0.0070237
v_15,0.0068914997
y_10,0.006825979
z_9,0.006788218
y_1,0.0066811237
x_21,0.0066540698
x_23,0.0064655864
x_0,0.0063974815
x_28,0.006327125
x_16,0.006241682
z_28,0.0062121395
x_8,0.0061323405
x_10,0.0061235535
z_1,0.006083746
x_31,0.0060777543
v_13,0.0060709775
z_2,0.005962294
y_16,0.005877831
x_14,0.0058246427
z_15,0.0057866075
v_32,0.0055484567
v_26,0.0055415686
z_26,0.005386311
x_4,0.005334625
x_22,0.005284618
v_14,0.005240861
z_11,0.0052138628
v_29,0.005172489
y_0,0.0050822347
v_20,0.005043427
v_23,0.005039318
v_11,0.005003849
z_31,0.004976973
v_16,0.0049408013
x_9,0.0049308
v_24,0.0049196538
v_31,0.00485477
z_3,0.0048263045
z_14,0.0048127496
z_17,0.0047764364
v_28,0.0045949807
x_5,0.004577789
v_1,0.004514019
v_0,0.0045100236
v_30,0.004495163
z_19,0.0044597895
z_32,0.0044522784
v_12,0.004228983
v_9,0.0042211437
x_6,0.004086273
v_17,0.0040609157
v_21,0.0038642804
v_7,0.0038419736
z_16,0.003837751
x_3,0.0037766595
z_13,0.0037168476
z_4,0.0036881466
v_25,0.0036716585
x_2,0.0036428815
z_21,0.0035506089
z_5,0.0032254807
v_2,0.0030078897
z_18,0.002947083
v_18,0.0029466029
v_3,0.0025626607
v_8,0.0024759145
v_19,0.0023860182
v_10,0.0023740076
v_4,0.0023200803
v_5,0.0023163543
